['video', 'enonce', 'age', 'sexe', 'nationalité', 'langue maternelle', "niveau d'études", 'Exces (0/1/2)', 'Total']
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', 'L’interlocuteur et lui, il n’a pas les yeux en face des trous', '20', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '21', 'F', 'Français', None, 'Bac + 3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '1', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', '[petit temps d’arret puis rire]', '20', 'F', 'Français', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'Français', None, 'Bac +3', '0', None]
[None, None, '20', 'F', 'Français', None, 'BAC +3', '0', None]
[None, None, '22', 'F', 'Français', None, 'BAC + 3', '0', None]
[None, None, '22', 'F', 'Français', None, 'BAC + 3', '0', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '0', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '0', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', 'Nan j’déconne, j’déconne', '20', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '21', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '0', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', 'Alors je vous écoute', '20', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '0', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '0', None]
[None, None, '22', 'F', 'Français', None, 'Bac + 3', '1', None]
[None, None, '22', 'F', 'Français', None, 'Bac + 3', '0', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '0', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '0', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', '[rentre dans personnage]', '20', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '1', None]
